District,Number of households,Ground Water,Water supply system
Ampara,163388,88488,74900
Anuradhapura,228304,134001,94303
Badulla,212510,116789,95721
Batticaloa,133795,123747,10048
Colombo,558755,144944,413811
Galle,269740,186203,83537
Gampaha,593317,411747,181570
Hambantota,155299,42582,112717
Jaffna,137503,115024,22479
Kaluthara,300402,204616,95786
Kandy,344681,133824,210857
Kegalle,218508,155301,63207
Killinochchi,28304,27105,1199
Kurunegala,439065,379517,59548
Mannar,23783,14702,9081
Matale,127884,68606,59278
Mathara,204194,120152,84042
Monaragala,117935,65043,52892
Mullaitivu,24334,23828,506
Nuwara Eliya,177420,87498,89922
Polonnaruwa,110476,68070,42406
Puttalama,200784,138747,62037
Rathnapura,280581,141404,139177
Trincomalee,95871,54996,40875
Vauniya,41214,36438,4776
